problem_definition_id,problem_id
\SPROBLEM_BINARY_KNAPSACK,\SPA023
\SPROBLEM_BINARY_KNAPSACK,\SPA032
\SPROBLEM_BIOBJECTIVE_CONTINUOUS,\SPA038
\SPROBLEM_CONSTRAINED_CONTINUOUS_2D,\SPA009
\SPROBLEM_EXPENSIVE_BLACK_BOX_1D,\SPA013
\SPROBLEM_EXPENSIVE_BLACK_BOX_1D,\SPA014
\SPROBLEM_LINEAR_ASSIGNMENT,\SPA030
\SPROBLEM_MULTIMODAL_CONTINUOUS,\SPA012
\SPROBLEM_MULTIMODAL_CONTINUOUS,\SPA014
\SPROBLEM_NONLINEAR_LEAST_SQUARES,\SPA033
\SPROBLEM_NONSMOOTH_CONTINUOUS,\SPA010
\SPROBLEM_NONSMOOTH_CONTINUOUS,\SPA011
\SPROBLEM_QUADRATIC_CONTINUOUS,\SPA006
\SPROBLEM_QUADRATIC_CONTINUOUS,\SPA018
\SPROBLEM_ROSENBROCK,\SPA006
