problem_definition_id,name_ja,name_en,mathematical_family,variable_domain,objective_form,objective_direction,available_oracles_json,constraint_class,dimensionality_policy_json,known_reference_semantics,related_problem_ids_json,feature_ids_json,source_ids_json,last_verified
\SPROBLEM_BINARY_KNAPSACK,\S0-1 knapsack,\SBinary knapsack,\Sbinary_knapsack,\Sbinary,\Slinear,\Smaximize,"\S[""objective_value"",""feasibility"",""relaxation_bound""]",\Slinear_inequality,"\S{""kind"":""parameterized"",""minimum"":1}",\SSmall instances can be exhaustively certified; larger instances may use best-known bounds.,"\S[""PA023"",""PA032""]","\S[""F_STRUCTURE_KNAPSACK"",""F_VARIABLE_BINARY"",""F_GUARANTEE_BOUNDS""]","\S[""S021"",""S022"",""S079""]",\S2026-07-15
\SPROBLEM_BIOBJECTIVE_CONTINUOUS,\S2目的連続問題,\SBi-objective continuous problem,\Sbiobjective_quadratic,\Scontinuous,\Smultiobjective,\Smultiobjective,"\S[""objective_vector""]",\Sbounds,"\S{""dimension"":2,""kind"":""fixed""}",\SThe Pareto set and its objective-space image are available analytically.,"\S[""PA038""]","\S[""F_OBJECTIVE_MULTIOBJECTIVE"",""F_STRUCTURE_MULTIOBJECTIVE"",""F_GUARANTEE_PARETO_SET""]","\S[""S039"",""S068""]",\S2026-07-15
\SPROBLEM_CONSTRAINED_CONTINUOUS_2D,\S制約付き2次元問題,\SConstrained two-dimensional problem,\Sconstrained_quadratic,\Scontinuous,\Squadratic,\Sminimize,"\S[""objective_value"",""gradient"",""constraint_value"",""constraint_jacobian""]",\Snonlinear_inequality,"\S{""dimension"":2,""kind"":""fixed""}",\SThe active circular boundary and KKT conditions give an exact reference.,"\S[""PA009""]","\S[""F_CONSTRAINT_NONLINEAR_INEQUALITY"",""F_OBJECTIVE_QUADRATIC"",""F_VARIABLE_CONTINUOUS""]","\S[""S055"",""S056""]",\S2026-07-15
\SPROBLEM_EXPENSIVE_BLACK_BOX_1D,\S高価な1次元black-box,\SExpensive one-dimensional black box,\Swavy_black_box,\Scontinuous,\Sblack_box,\Sminimize,"\S[""objective_value""]",\Sbounds,"\S{""dimension"":1,""kind"":""fixed""}",\SThe optimizer is not given a reference; the hidden truth is only for educational rendering.,"\S[""PA013"",""PA014""]","\S[""F_OBJECTIVE_NOISY"",""F_EVALUATION_COST"",""F_VARIABLE_CONTINUOUS""]","\S[""S059"",""S075""]",\S2026-07-15
\SPROBLEM_LINEAR_ASSIGNMENT,\S線形assignment,\SLinear assignment,\Slinear_assignment,\Spermutation,\Slinear,\Sminimize,"\S[""objective_value"",""feasibility""]",\Sassignment,"\S{""kind"":""square_matrix"",""minimum"":2}",\SA finite assignment instance has a certifiable exact optimum.,"\S[""PA030""]","\S[""F_STRUCTURE_ASSIGNMENT"",""F_VARIABLE_PERMUTATION"",""F_OBJECTIVE_LINEAR""]","\S[""S054"",""S078""]",\S2026-07-15
\SPROBLEM_MULTIMODAL_CONTINUOUS,\S多峰性連続関数,\SMultimodal continuous function,\Srastrigin,\Scontinuous,\Sgeneral_nonlinear,\Sminimize,"\S[""objective_value""]",\Sbounds,"\S{""kind"":""parameterized"",""minimum"":1}",\SThe canonical unshifted test instance has a known exact global minimizer.,"\S[""PA012"",""PA014""]","\S[""F_OBJECTIVE_MULTIMODAL"",""F_NUMERICAL_MANY_LOCAL_OPTIMA"",""F_VARIABLE_CONTINUOUS""]","\S[""S056""]",\S2026-07-15
\SPROBLEM_NONLINEAR_LEAST_SQUARES,\Sbounds付き非線形最小二乗,\SBounded nonlinear least squares,\Snonlinear_least_squares,\Scontinuous,\Ssum_of_squared_residuals,\Sminimize,"\S[""residual_vector"",""jacobian"",""objective_value"",""gradient""]",\Sbounds,"\S{""dimension"":3,""kind"":""fixed""}","\SThe noiseless synthetic data are generated from the recorded three-parameter truth; this reference is for teaching and validation, not optimizer input.","\S[""PA033""]","\S[""F_STRUCTURE_NONLINEAR_LEAST_SQUARES"",""F_VARIABLE_CONTINUOUS"",""F_CONSTRAINT_BOUNDS""]","\S[""S003"",""S041"",""S056"",""S096""]",\S2026-07-17
\SPROBLEM_NONSMOOTH_CONTINUOUS,\S非滑らか連続関数,\SNonsmooth continuous function,\Sabsolute_ridge,\Scontinuous,\Spiecewise_linear,\Sminimize,"\S[""objective_value"",""subgradient""]",\Sbounds,"\S{""dimension"":2,""kind"":""fixed""}",\SThe nonnegative absolute-value terms identify an exact minimizer.,"\S[""PA010"",""PA011""]","\S[""F_OBJECTIVE_NONSMOOTH"",""F_DERIVATIVE_NOT_DIFFERENTIABLE"",""F_VARIABLE_CONTINUOUS""]","\S[""S055"",""S066""]",\S2026-07-15
\SPROBLEM_QUADRATIC_CONTINUOUS,\S連続二次最適化,\SContinuous quadratic optimization,\Squadratic,\Scontinuous,\Squadratic,\Sminimize,"\S[""objective_value"",""gradient"",""hessian""]",\Snone,"\S{""kind"":""parameterized"",""minimum"":1}",\SPositive-definite instances have one exact global minimizer.,"\S[""PA006"",""PA018""]","\S[""F_VARIABLE_CONTINUOUS"",""F_OBJECTIVE_QUADRATIC"",""F_OBJECTIVE_STRONGLY_CONVEX""]","\S[""S055"",""S056""]",\S2026-07-15
\SPROBLEM_ROSENBROCK,\SRosenbrock谷,\SRosenbrock valley,\Srosenbrock,\Scontinuous,\Sgeneral_nonlinear,\Sminimize,"\S[""objective_value"",""gradient""]",\Snone,"\S{""kind"":""parameterized"",""minimum"":2}",\SThe standard instance has an exact global minimizer at the all-ones vector.,"\S[""PA006""]","\S[""F_VARIABLE_CONTINUOUS"",""F_OBJECTIVE_NONCONVEX"",""F_NUMERICAL_NARROW_VALLEY""]","\S[""S056"",""S063""]",\S2026-07-15
