symptom_id,failure_mode_id,observable_id,non_visual_state,description
\SSYMPTOM_FM003,\SFM003,\Sgradient,\N,\Sgradient符号がreplicateで変わる
\SSYMPTOM_FM007,\SFM007,\Sobjective_value,\N,\Sstepが一部変数だけ動く
\SSYMPTOM_FM009,\SFM009,\Supdate_vector,\N,\S極端に遅い、方向不安定
\SSYMPTOM_FM011,\SFM011,\Sconstraint_violation,\N,\Sconstraint violationが減らない
\SSYMPTOM_FM014,\SFM014,\N,\Smodel_infeasible,\Sinfeasible status、phase-I正
\SSYMPTOM_FM015,\SFM015,\Sconstraint_violation,\N,\Ssuccessだが元式で不可行
\SSYMPTOM_FM016,\SFM016,\Sobjective_value,\N,\S初期値で異なる解
\SSYMPTOM_FM022,\SFM022,\Ssearch_nodes,\N,\S改善前にbudget枯渇
\SSYMPTOM_FM024,\SFM024,\Sobjective_value,\N,\S末尾精度に大量時間
\SSYMPTOM_FM025,\SFM025,\N,\Ssolver_status,\Slimit到達をsuccess扱い、inaccurate無視
\SSYMPTOM_FM033,\SFM033,\Sposterior_uncertainty,\N,\S予測順位/uncertainty不良
\SSYMPTOM_FM037,\SFM037,\N,\Spopulation_diversity,\S全個体近接、改善停止
